NIT,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,Año de Corte,id_razon_social,id_supervisor
900291838,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,7020,SERVICIOS,$0.03,$0.00,$0.04,$0.02,$0.02,2021,9762,1
900310050,Bogotá - Cundinamarca,CUNDINAMARCA,COTA -CUNDINAMARCA,4645,COMERCIO,$0.03,$0.01,$0.03,$0.01,$0.02,2021,5775,1
900275802,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4774,COMERCIO,$0.03,$0.00,$0.02,$0.02,$0.01,2021,4059,1
901113578,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,4111,CONSTRUCCIÓN,$0.03,$0.00,$0.04,$0.04,$0.00,2021,10207,1
844000518,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6190,SERVICIOS,$0.03,$0.00,$0.02,$0.01,$0.01,2021,4977,1
800243991,Bogotá - Cundinamarca,CUNDINAMARCA,TABIO-CUNDINAMARCA,811,MINERO,$0.03,$0.00,$0.11,$0.01,$0.10,2021,5622,1
805008909,Costa Pacífica,VALLE,CALI-VALLE,4541,COMERCIO,$0.03,$0.00,$0.01,$0.01,$0.01,2021,4672,1
860045178,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4620,COMERCIO,$0.03,$0.00,$0.03,$0.02,$0.01,2021,5673,1
830085497,Bogotá - Cundinamarca,CUNDINAMARCA,FUNZA -CUNDINAMARCA,3290,MANUFACTURA,$0.03,$0.00,$0.04,$0.01,$0.03,2021,5483,1
900243359,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4541,COMERCIO,$0.03,$0.00,$0.02,$0.01,$0.00,2021,4911,1
